,arabidopsis,boar,chicken,cow,fly,human,maize,mouse,rat,rice,roundworm,soybean,yeast,zebrafish,bee,bombyx,brome,chimp,crabm,dog,goat,grape,horse,medicago,mosquito,potato,rabbit,rhesusm,sheep,sorghum,tomato,wfrog,salmon,trout,mustard,chlam,afrog,apple,tobacco
arabidopsis,,1496,1496,1496,1496,1496,160,1496,1496,160,1496,106,1496,1496,1496,1496,160,1496,1496,1496,1496,110,1496,106,1496,117,1496,1496,1496,160,117,1496,1496,1496,25.6,1160,1496,106,117
boar,,,312,62,797,96,1496,96,96,1496,797,1496,1105,435,797,797,1496,96,96,78,62,1496,78,1496,797,1496,96,96,62,1496,1496,351.8,435,435,1496,1496,351.8,1496,1496
chicken,,,,312,797,312,1496,312,312,1496,797,1496,1105,435,797,797,1496,312,312,312,312,1496,312,1496,797,1496,312,312,312,1496,1496,351.8,435,435,1496,1496,351.8,1496,1496
cow,,,,,797,96,1496,96,96,1496,797,1496,1105,435,797,797,1496,96,96,78,24.6,1496,78,1496,797,1496,96,96,24.6,1496,1496,351.8,435,435,1496,1496,351.8,1496,1496
fly,,,,,,797,1496,797,797,1496,743,1496,1105,797,325,272,1496,797,797,797,797,1496,797,1496,272,1496,797,797,797,1496,1496,797,797,797,1496,1496,797,1496,1496
human,,,,,,,1496,90,90,1496,797,1496,1105,435,797,797,1496,6.7,29.44,96,96,1496,96,1496,797,1496,90,29.44,96,1496,1496,351.8,435,435,1496,1496,351.8,1496,1496
maize,,,,,,,,1496,1496,50,1496,160,1496,1496,1496,1496,50,1496,1496,1496,1496,160,1496,160,1496,160,1496,1496,1496,12.19,160,1496,1496,1496,160,1160,1496,160,160
mouse,,,,,,,,,20.9,1496,797,1496,1105,435,797,797,1496,90,90,96,96,1496,96,1496,797,1496,82,90,96,1496,1496,351.8,435,435,1496,1496,351.8,1496,1496
rat,,,,,,,,,,1496,797,1496,1105,435,797,797,1496,90,90,96,96,1496,96,1496,797,1496,82,90,96,1496,1496,351.8,435,435,1496,1496,351.8,1496,1496
rice,,,,,,,,,,,1496,160,1496,1496,1496,1496,50,1496,1496,1496,1496,160,1496,160,1496,160,1496,1496,1496,50,160,1496,1496,1496,160,1160,1496,160,160
roundworm,,,,,,,,,,,,1496,1105,797,743,743,1496,797,797,797,797,1496,797,1496,743,1496,797,797,797,1496,1496,797,797,797,1496,1496,797,1496,1496
soybean,,,,,,,,,,,,,1496,1496,1496,1496,160,1496,1496,1496,1496,110,1496,53,1496,117,1496,1496,1496,160,117,1496,1496,1496,106,1160,1496,106,117
yeast,,,,,,,,,,,,,,1105,1105,1105,1496,1105,1105,1105,1105,1496,1105,1496,1105,1496,1105,1105,1105,1496,1496,1105,1105,1105,1496,1496,1105,1496,1496
zebrafish,,,,,,,,,,,,,,,797,797,1496,435,435,435,435,1496,435,1496,797,1496,435,435,435,1496,1496,435,435,435,1496,1496,435,1496,1496
bee,,,,,,,,,,,,,,,,325,1496,797,797,797,797,1496,797,1496,325,1496,797,797,797,1496,1496,797,797,797,1496,1496,797,1496,1496
bombyx,,,,,,,,,,,,,,,,,1496,797,797,797,797,1496,797,1496,272,1496,797,797,797,1496,1496,797,797,797,1496,1496,797,1496,1496
brome,,,,,,,,,,,,,,,,,,1496,1496,1496,1496,160,1496,160,1496,160,1496,1496,1496,50,160,1496,1496,1496,160,1160,1496,160,160
